City,Operational Management Area,Store serial number,Department code,Store name,Checklist number,Check category,Check items,Opportunity point description,Label,Opportunity point value,Deduction type,Check route,checker,Checker position,Voiding Approval Position,Voiding Submission Time,Voiding Approval Time,Report score,Store level,Check date,Check report generation time,Module_CN,Severity_Code,Severity_CN,Severity_Level,Month
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: No pests enter compliance requirement,Temperature log not completed for refrigerator,No pests enter,-2,General,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,虫害防控,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Cross Contamination compliance requirement,Gloves not worn during food preparation,Cross Contamination,0,Other,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,食品加工区域,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Grease traps&Residue traps&Sewer lines compliance requirement,Pest trap not checked in the last 30 days,Grease traps&Residue traps&Sewer lines,-5,Important,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,水务与管道,M,M项,重要项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Requirements compliance requirement,Equipment not properly maintained - ice machine leaking,Requirements,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,证照与规范,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Water Sinks & Pipes compliance requirement,Personal items in food preparation area,Water Sinks & Pipes,-2,General,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,水务与管道,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Lights compliance requirement,Operating license not displayed visibly,Lights,0,Other,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,环境与客区,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Cross Contamination compliance requirement,No air gap in plumbing under sink,Cross Contamination,0,Other,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,食品加工区域,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Requirements compliance requirement,Floor not clean under the sink area,Requirements,-2,General,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,证照与规范,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Material Storage Location Specification compliance requirement,Temperature of freezer above acceptable range,Material Storage Location Specification,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,储存管理,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Procedures for Cleaning and Disinfection compliance requirement,No air gap in plumbing under sink,Procedures for Cleaning and Disinfection,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,清洁消毒,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Water Sinks & Pipes compliance requirement,Floor not clean under the sink area,Water Sinks & Pipes,0,Other,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,水务与管道,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Personal certificate compliance requirement,Floor not clean under the sink area,Personal certificate,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,人员卫生,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1003,Store food safety audit,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Food item past expiration date found in storage area,Insect Pest Control Facilities & Suppliers,-1,Slight,On-site check,Li Ming,QA Inspector,,,,91,Pickup,2026-02-22,2026-02-22 12:44:00,虫害防控,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: No Sign of Insect Pests compliance requirement,Equipment not properly maintained - ice machine leaking,No Sign of Insect Pests,0,Other,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,虫害防控,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Employees' Health compliance requirement,Temperature of freezer above acceptable range,Employees' Health,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,人员卫生,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Expiration Date compliance requirement,Operating license not displayed visibly,Expiration Date,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,有效期管理,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: No Sign of Insect Pests compliance requirement,Personal items in food preparation area,No Sign of Insect Pests,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,虫害防控,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Handwashing Standards compliance requirement,Handwashing station missing soap,Handwashing Standards,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,清洁消毒,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Personal certificate compliance requirement,Light fixture damaged in food prep area,Personal certificate,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,人员卫生,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: No pests enter compliance requirement,Pest trap not checked in the last 30 days,No pests enter,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,虫害防控,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Personal certificate compliance requirement,Water filter replacement date overdue,Personal certificate,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,人员卫生,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Customer Area compliance requirement,Grease trap not cleaned on schedule,Customer Area,0,Other,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,环境与客区,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Workplace Safety compliance requirement,Employee health certificate expired,Workplace Safety,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,环境与客区,L,L项,轻微项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Procedures for Cleaning and Disinfection compliance requirement,Personal items in food preparation area,Procedures for Cleaning and Disinfection,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,清洁消毒,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Cross Contamination compliance requirement,Employee health certificate expired,Cross Contamination,-5,Key,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,食品加工区域,S,S项,关键项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Procedures for Cleaning and Disinfection compliance requirement,Handwashing station missing soap,Procedures for Cleaning and Disinfection,0,Other,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,清洁消毒,O,其他,其他,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Avoidance of Falling Foreign Objects compliance requirement,Pest trap not checked in the last 30 days,Avoidance of Falling Foreign Objects,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,食品加工区域,G,G项,一般项,2026-02
New York City,Area 1,US00003,LKUS00000003,Bryant Park,CK-2026-1004,Area food safety Check,Check: Personal certificate compliance requirement,Employee health certificate expired,Personal certificate,-2,General,On-site check,Wang Fang,QA Inspector,,,,73,Pickup,2026-02-17,2026-02-17 10:32:00,人员卫生,G,G项,一般项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Lights compliance requirement,Floor not clean under the sink area,Lights,-1,Slight,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,环境与客区,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Facility Inspection and Maintenance compliance requirement,Floor not clean under the sink area,Facility Inspection and Maintenance,-1,Slight,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,设备与工具,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Water Filtration Device compliance requirement,Equipment not properly maintained - ice machine leaking,Water Filtration Device,-2,General,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,水务与管道,G,G项,一般项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Lights compliance requirement,Employee health certificate expired,Lights,-2,General,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,环境与客区,G,G项,一般项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Procedures for Cleaning and Disinfection compliance requirement,Temperature log not completed for refrigerator,Procedures for Cleaning and Disinfection,-1,Slight,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,清洁消毒,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Personal certificate compliance requirement,Employee health certificate expired,Personal certificate,0,Other,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,人员卫生,O,其他,其他,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Storage and Inventory Transfer of Food compliance requirement,Pest trap not checked in the last 30 days,Storage and Inventory Transfer of Food,-1,Slight,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,储存管理,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Customer Area compliance requirement,Gloves not worn during food preparation,Customer Area,0,Other,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,环境与客区,O,其他,其他,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Equipment and Food Processing Utensils compliance requirement,Grease trap not cleaned on schedule,Equipment and Food Processing Utensils,0,Other,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,设备与工具,O,其他,其他,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1005,Store food safety audit,Check: Insect Pest Control Facilities & Suppliers compliance requirement,Equipment not properly maintained - ice machine leaking,Insect Pest Control Facilities & Suppliers,-1,Slight,On-site check,Li Ming,QA Inspector,,,,83,Pickup,2026-02-04,2026-02-04 09:42:00,虫害防控,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Facility Inspection and Maintenance compliance requirement,Temperature log not completed for refrigerator,Facility Inspection and Maintenance,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,设备与工具,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Unqualified Goods compliance requirement,Temperature log not completed for refrigerator,Unqualified Goods,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,储存管理,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Avoidance of Falling Foreign Objects compliance requirement,Handwashing station missing soap,Avoidance of Falling Foreign Objects,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,食品加工区域,G,G项,一般项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Government inspection compliance requirement,Gloves not worn during food preparation,Government inspection,-5,Important,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,证照与规范,M,M项,重要项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Devices for Monitoring the Temperatures of All Refrigerators and Freezers compliance requirement,Personal items in food preparation area,Devices for Monitoring the Temperatures of All Refrigerators and Freezers,0,Other,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,温控管理,O,其他,其他,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Government inspection compliance requirement,Food storage containers not labeled with date,Government inspection,-5,Important,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,证照与规范,M,M项,重要项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Unqualified Goods compliance requirement,Cross contamination risk: raw and cooked food stored together,Unqualified Goods,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,储存管理,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,"Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",Employee health certificate expired,"Operation Stand, Shelf, Cabinet and Water Sink",-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,食品加工区域,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Water Sinks & Pipes compliance requirement,Grease trap not cleaned on schedule,Water Sinks & Pipes,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,水务与管道,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Expiration Date compliance requirement,Food item past expiration date found in storage area,Expiration Date,0,Other,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,有效期管理,O,其他,其他,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: License Documents compliance requirement,Handwashing station missing soap,License Documents,-1,Slight,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,证照与规范,L,L项,轻微项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Personal certificate compliance requirement,Equipment not properly maintained - ice machine leaking,Personal certificate,-2,General,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,人员卫生,G,G项,一般项,2026-02
New York City,Area 2,US00004,LKUS00000004,Wall Street,CK-2026-1006,Store food safety self-check,Check: Personal Hygiene compliance requirement,Operating license not displayed visibly,Personal Hygiene,0,Other,On-site check,Wang Fang,QA Inspector,,,,93,Pickup,2026-02-07,2026-02-07 08:37:00,人员卫生,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Workplace Safety compliance requirement,Floor not clean under the sink area,Workplace Safety,0,Key,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,环境与客区,S,S项,关键项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Product Storage Conditions compliance requirement,Food items stored directly on floor,Product Storage Conditions,-2,General,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,温控管理,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Material Storage Location Specification compliance requirement,"Trash can lid broken, needs repair",Material Storage Location Specification,-2,General,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,储存管理,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,"Check: Operation Stand, Shelf, Cabinet and Water Sink compliance requirement",No air gap in plumbing under sink,"Operation Stand, Shelf, Cabinet and Water Sink",-1,Slight,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,食品加工区域,L,L项,轻微项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Requirements compliance requirement,Handwashing station missing soap,Requirements,-2,General,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,证照与规范,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Lights compliance requirement,Food item past expiration date found in storage area,Lights,0,Other,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,环境与客区,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Food compliance requirement,Chemical storage area not properly labeled,Food,0,Other,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,有效期管理,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Licenses and certificates compliance requirement,Food items stored directly on floor,Licenses and certificates,-1,Slight,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,证照与规范,L,L项,轻微项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Equipment and Food Processing Utensils compliance requirement,Food items stored directly on floor,Equipment and Food Processing Utensils,-2,General,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,设备与工具,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Equipment Inspection and Maintenance compliance requirement,Food storage containers not labeled with date,Equipment Inspection and Maintenance,0,Other,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,设备与工具,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Product Storage Conditions compliance requirement,Temperature log not completed for refrigerator,Product Storage Conditions,-5,Important,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,温控管理,M,M项,重要项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Personal Hygiene compliance requirement,Floor not clean under the sink area,Personal Hygiene,-2,General,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,人员卫生,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Personal Hygiene compliance requirement,Temperature of freezer above acceptable range,Personal Hygiene,0,Other,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,人员卫生,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1007,Store food safety self-check,Check: Material Storage Location Specification compliance requirement,Chemical storage area not properly labeled,Material Storage Location Specification,0,Other,On-site check,Chen Yu,QA Inspector,,,,79,Pickup,2026-02-27,2026-02-27 16:45:00,储存管理,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1008,Store food safety self-check,Check: Water Filtration Device compliance requirement,Gloves not worn during food preparation,Water Filtration Device,-2,General,On-site check,Chen Yu,QA Inspector,,,,80,Pickup,2026-02-01,2026-02-01 10:47:00,水务与管道,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1008,Store food safety self-check,Check: Equipment Inspection and Maintenance compliance requirement,Pest trap not checked in the last 30 days,Equipment Inspection and Maintenance,0,Other,On-site check,Chen Yu,QA Inspector,,,,80,Pickup,2026-02-01,2026-02-01 10:47:00,设备与工具,O,其他,其他,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1008,Store food safety self-check,Check: License Documents compliance requirement,Employee health certificate expired,License Documents,-2,General,On-site check,Chen Yu,QA Inspector,,,,80,Pickup,2026-02-01,2026-02-01 10:47:00,证照与规范,G,G项,一般项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1008,Store food safety self-check,Check: Storage/Maintenance of Utensils compliance requirement,"Trash can lid broken, needs repair",Storage/Maintenance of Utensils,-1,Slight,On-site check,Chen Yu,QA Inspector,,,,80,Pickup,2026-02-01,2026-02-01 10:47:00,设备与工具,L,L项,轻微项,2026-02
New York City,Area 2,US00005,LKUS00000005,Midtown East,CK-2026-1008,Store food safety self-check,Check: Grease traps&Residue traps&Sewer lines compliance requirement,Operating license not displayed visibly,Grease traps&Residue traps&Sewer lines,0,Other,On-site check,Chen Yu,QA Inspector,,,,80,Pickup,2026-02-01,2026-02-01 10:47:00,水务与管道,O,其他,其他,2026-02
